,name,discription
1169,                    PEG-32                ,"Peg-32 also functions as an emulsifier, which is a type of ingredient that keeps unlike substances (such as oil and water) from separating."
1170,                    PEG-33                ,"The synthetic polymer of ethylene oxide used as a binding agent and humectant.  With any PEG ingredient followed by a number, the lower the number, the lighter the ingredient. Thus, PEG-33 will feel lighter on skin than PEG-200."
1171,                    PEG-40 hydrogenated castor oil                ,"Emollient ingredient that is a mixture of synthetic polyethylene glycol (PEG) with natural castor oil. It’s considered safe for use in cosmetics. The weight and size of this ingredient is too large to penetrate beyond skin’s surface, but that’s fine—this type of emollient is needed on the surface to stop moisture loss and keep skin feeling soft.See castor oil , polyethylene glycolReference for this information: Toxicological Research, June 2015, pages 105-136"
1172,                    PEG-40 stearate                ,"PEG-40 stearate typically functions as a cleansing agent, but also helps keep ingredients solubolized."
1173,                    PEG-60 almond glycerides                ,"The polyethylene glycol derivative of fatty acids from almond oil, this ingredient functions as an emollient, skin-conditioning agent, and emulsifier, among others. It has plant (that being the almond) and synthetic properties, and is not considered a problematic ingredient."
1174,                    PEG-60 hydrogenated castor oil                ,The chief function of this ingredient is cleansing agent.
1175,                    PEG-75 shea butter glycerides                ,An emulsifying and skin replenishing agent derived from glycerides (fatty acids) taken from shea butter.
1176,                    PEG-7 glyceryl cocoate                ,
1177,                    PEG-8                ,
1178,                    PEG-80 sorbitan laurate                ,Mild surfactant.
1179,                    PEG-8 dimethicone                ,A synthetic skin and hair replenishing agent.
1180,                    PEG 90M                ,
1181,                    PEG compound                ,"PEG is an acronym for polyethylene glycol. Various forms of PEG compounds are mixed with fatty acids and fatty alcohols to create a variety of ingredients that have diverse functions in cosmetics, including surfactants, binding agents (which keep ingredients blended), stabilizers, and emollients. Common PEG ingredients include the thickening and emulsifying agent PEG-100 stearate, and many PEG compounds combined with hydrogenated oils, which function as emollients or binding agents. PEG compounds may also function as cleansing agents; for example, PEG-7 glyceryl cocoate, PEG-80 sorbitan laurate, and PEG-40 stearate are mild cleansing agents.The greater the number following the PEG designation, the “heavier” and more complex the molecule. For example, PEG-200 palm glyceride is a heavier ingredient than PEG-100 stearate. PEG compounds are widely used throughout the cosmetics industry. They’ve been extensively tested and are considered safe for use in cosmetics products.References for this information:International Journal of Toxicology, 2006, Supplement 2, pages 121-138Toxicology, October 2005, issues 1-2, pages 1-38"
1182,                    Pelargonium graveolens oil                ,
1183,                    pellitory                ,Plant whose root extract can aggravate skin; its safety is unknown.
1184,                    pentadecalactone                ,Synthetic fragrance used in cosmetics.
1185,                    pentaerythrityl tetraisostearate                ,"Non-aqueous ester that functions as a thickener and binding agent, derived from the ingredient isostearic acid."
